case_id,source_dataset,check_name,unit,current_A,egr_fraction,initial_error,final_error,max_abs_error,mean_abs_error,last_window_max_abs_error,tolerance,pass,message
cegr0608_004,cegr_0608_txt,mixer_to_stack_in_mN2,kg/s,38,0.3707279438,0,0,0,0,0,1e-10,1,
cegr0608_004,cegr_0608_txt,mixer_to_stack_in_mH2Ov_delta,kg/s,38,0.3707279438,0,0,0,0,0,1e-10,1,
cegr0608_004,cegr_0608_txt,inlet_condensed_liquid_balance,kg/s,38,0.3707279438,0,0,0,0,0,1e-10,1,
cegr0608_004,cegr_0608_txt,stack_out_split_mO2,kg/s,38,0.3707279438,0,0,6.7762635780344e-21,1.74149973955484e-21,6.7762635780344e-21,1e-10,1,
cegr0608_004,cegr_0608_txt,stack_out_split_mN2,kg/s,38,0.3707279438,5.42101086242752e-20,6.7762635780344e-21,5.42101086242752e-20,1.5558301175167e-20,5.42101086242752e-20,1e-10,1,
cegr0608_004,cegr_0608_txt,splitter_ratio_param_error,1,38,0.3707279438,0,0,0,0,0,1e-09,1,
cegr0608_004,cegr_0608_txt,summary_pO2In_vs_stack_in,kPa,38,0.3707279438,0,0,0,0,0,1e-06,1,
cegr0608_004,cegr_0608_txt,summary_xO2In_vs_stack_in,1,38,0.3707279438,0,0,0,0,0,1e-09,1,
cegr0608_004,cegr_0608_txt,summary_RHIn_vs_stack_in,1,38,0.3707279438,0,0,0,0,0,1e-07,1,
cegr0608_004,cegr_0608_txt,actual_mIn_excess_over_target,kg/s,38,0.3707279438,0,0,0,0,0,1e-10,1,
cegr0608_005,cegr_0608_txt,mixer_to_stack_in_mO2,kg/s,38,0.4680959866,0,0,0,0,0,1e-10,1,
cegr0608_005,cegr_0608_txt,mixer_to_stack_in_mN2,kg/s,38,0.4680959866,0,0,0,0,0,1e-10,1,
cegr0608_005,cegr_0608_txt,mixer_to_stack_in_mH2Ov_delta,kg/s,38,0.4680959866,0,0,0,0,0,1e-10,1,
cegr0608_005,cegr_0608_txt,inlet_condensed_liquid_balance,kg/s,38,0.4680959866,0,0,0,0,0,1e-10,1,
cegr0608_005,cegr_0608_txt,stack_out_split_mO2,kg/s,38,0.4680959866,0,1.6940658945086e-21,1.35525271560688e-20,4.96869526859373e-21,1.35525271560688e-20,1e-10,1,
cegr0608_005,cegr_0608_txt,stack_out_split_mN2,kg/s,38,0.4680959866,5.42101086242752e-20,6.7762635780344e-21,5.42101086242752e-20,2.58311167594671e-20,5.42101086242752e-20,1e-10,1,
cegr0608_005,cegr_0608_txt,splitter_ratio_param_error,1,38,0.4680959866,0,0,0,0,0,1e-09,1,
cegr0608_005,cegr_0608_txt,summary_pO2In_vs_stack_in,kPa,38,0.4680959866,0,0,0,0,0,1e-06,1,
cegr0608_005,cegr_0608_txt,summary_xO2In_vs_stack_in,1,38,0.4680959866,0,0,0,0,0,1e-09,1,
cegr0608_005,cegr_0608_txt,summary_RHIn_vs_stack_in,1,38,0.4680959866,0,0,0,0,0,1e-07,1,
cegr0608_005,cegr_0608_txt,actual_mIn_excess_over_target,kg/s,38,0.4680959866,0,0,0,0,0,1e-10,1,
cegr0608_006,cegr_0608_txt,mixer_to_stack_in_mO2,kg/s,38,0.5478621762,0,0,0,0,0,1e-10,1,
cegr0608_006,cegr_0608_txt,mixer_to_stack_in_mN2,kg/s,38,0.5478621762,0,0,0,0,0,1e-10,1,
cegr0608_006,cegr_0608_txt,mixer_to_stack_in_mH2Ov_delta,kg/s,38,0.5478621762,0,0,0,0,0,1e-10,1,
