case_id,condition,stop_time_s,is_steady,egr_ratio_cmd,current_A,current_density_A_cm2,V_cell_meas,V_cell_sim,V_cell_err,V_stack_sim,pO2_ref_no_egr_kPa,pO2_ca_in_kPa,pH2O_caIn_kPa,RH_ca_in,T_ca_in_C,T_stack_sim_C,lambda_O2_actual,pressure_order_ok,p_ca_in_sim_kPa,p_stack_internal_kPa,p_ca_out_boundary_kPa,Q_gen_W,Q_cool_W,hum_transfer_kg_s,RH_hum_wet_out,pH2O_hum_wet_out_kPa,oxygen_stoich_cmd,dV_cell_30s,dT_stack_30s_C,dRH_ca_in_30s,model_name,pO2_error_kPa,pO2_target_kPa,severe_oxygen_starvation
bench_j0p70,same_current_egr_constant_pO2_qualitative,300,1,0.1,266,0.7,0.701175,0.702723556686362,0.00154855668636233,11.2435769069818,37.5933926596215,37.6738870774959,29.8365720779466,0.695906947360727,77.4912366934622,75.4250561691852,2.16155340432657,1,216.971378348936,189.897749736974,183.325,2346.23254274284,1860.08691262869,0.000256572283754674,0.493602229282427,17.6283919297087,2.25627680607912,3.37016103184595e-05,0.0288654064805058,0.000702218848136149,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0.0804944178744407,37.5933926596215,0
bench_j0p70,same_current_egr_constant_pO2_qualitative,300,1,0.2,266,0.7,0.701175,0.702751824634924,0.00157682463492426,11.2440291941588,37.5933926596215,37.452282190756,29.8937289550089,0.697243531410317,77.4911167197736,75.4249150213572,2.23024002612527,1,224.504649852251,192.745938990057,183.325,2346.11223435376,1859.96891497732,0.000245047234159882,0.518228234216219,18.5078625151899,2.44429987325238,3.36792153527998e-05,0.0288645102462084,0.000696331064410027,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,-0.141110468865456,37.5933926596215,0
bench_j0p70,same_current_egr_constant_pO2_qualitative,300,1,0.3,266,0.7,0.701175,0.703896889370586,0.00272188937058637,11.2623502299294,37.5933926596215,37.5973394794737,29.6071974183043,0.690699763244697,77.4862391374138,75.4191766347141,2.64008835019647,1,232.098692497747,200.595498245173,183.325,2341.23883883878,1855.1716692682,0.00026109102915123,0.5000743772774,17.8588668826238,3.00836907477216,3.34033313775794e-05,0.0288430128155426,0.000681165131435568,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0.00394681985216039,37.5933926596215,0
bench_j0p70,same_current_egr_constant_pO2_qualitative,300,1,0.4,266,0.7,0.701175,0.705097192503682,0.00392219250368164,11.2815550800589,37.5933926596215,37.823865969828,29.3049611608866,0.683793552345908,77.4811257919861,75.4131608781593,3.18713286753771,1,239.701783050343,210.577440860521,183.325,2336.13034870433,1850.14254364755,0.000281730236561748,0.476625774538338,17.020807345478,3.7604613434652,3.31373186935879e-05,0.0288208573508939,0.000664938255838243,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0.230473310206477,37.5933926596215,0
bench_j0p90,same_current_egr_constant_pO2_qualitative,300,1,0.1,342,0.9,0.68263125,0.682312717835757,-0.000318532164243268,10.9170034853721,41.3027673964543,41.2419984625264,32.3150777478069,0.689721017854118,79.6514211470559,77.6284040704291,1.87554149076927,1,238.393360030962,204.714618937696,200.225,3128.27280800274,2615.27270814735,0.000268169907230551,0.596836580328214,23.2368961967185,1.97122071434078,3.78116849307775e-05,0.0351271533218807,0.000840195405335642,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,-0.0607689339279034,41.3027673964543,0
bench_j0p90,same_current_egr_constant_pO2_qualitative,300,1,0.2,342,0.9,0.68263125,0.683291829645207,0.000660579645206605,10.9326692743233,41.3027673964543,41.2468781117105,32.1923115490774,0.686896461992001,79.6587103608669,77.6220995554957,2.11313014347645,1,247.487713857529,211.574259442254,200.225,3122.91510818143,2610.00219021729,0.000270536398812812,0.592075356390937,23.0383768022465,2.32962448058456,3.74783766156073e-05,0.0351005804092921,0.000822242710765031,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,-0.0558892847437988,41.3027673964543,0
bench_j0p90,same_current_egr_constant_pO2_qualitative,300,1,0.3,342,0.9,0.68263125,0.684579619356128,0.00194836935612808,10.953273909698,41.3027673964543,41.4422304128368,32.0127525940516,0.68326161280059,79.6516611353922,77.6138062623308,2.49458900130285,1,256.692602183078,221.239557881953,200.225,3115.86832288327,2603.06906963278,0.000280539041500095,0.571611512462899,22.2409422289365,2.86723012995023,3.70670776136395e-05,0.035066482655651,0.000807459363084573,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0.139463016382486,41.3027673964543,0
bench_j0p90,same_current_egr_constant_pO2_qualitative,300,1,0.4,342,0.9,0.68263125,0.685890159968752,0.00325890996875178,10.9742425595,41.3027673964543,41.7170171477702,31.8493525472562,0.679973073959345,79.6444870473638,77.605366071233,3.00358860312363,1,265.914046549326,233.493430650949,200.225,3108.69704465099,2596.01314305425,0.000293566698982799,0.54617878710018,21.2502461365575,3.58403766243778,3.66658278293519e-05,0.0350320384423668,0.000792478331586466,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0.414249751315943,41.3027673964543,0
bench_j1p10,same_current_egr_constant_pO2_qualitative,300,1,0.1,418,1.1,0.6660375,0.664746449334042,-0.00129105066595792,10.6359431893447,45.4942895556403,45.5243804723709,32.2681238535068,0.656769985263748,80.8200772520749,78.9822087825319,1.87471513904628,1,259.749123832249,223.912404317049,216.225,3940.92774685393,3425.36059061854,0.000278722058417706,0.687559773880098,27.3188862416047,1.97177007633686,2.75536209997096e-05,0.0272158938904425,0.000612411230364152,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0.0300909167305718,45.4942895556403,0
bench_j1p10,same_current_egr_constant_pO2_qualitative,300,1,0.2,418,1.1,0.6660375,0.665734344200051,-0.000303155799949217,10.6517495072008,45.4942895556403,45.6057926496843,32.3064987507709,0.657369717439317,80.8268882808623,78.975013644408,2.11069891825523,1,270.377476555185,232.219486309756,216.225,3934.32070599006,3418.84424606556,0.000273063247878855,0.679443903856049,26.9806007712903,2.33027372657993,2.72814022461709e-05,0.0271927535912226,0.00060544591953926,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0.111503094043982,45.4942895556403,0
bench_j1p10,same_current_egr_constant_pO2_qualitative,300,1,0.3,418,1.1,0.6660375,0.666344912725767,0.000307412725767064,10.6615186036123,45.4942895556403,45.4087424937224,32.598693874626,0.663615597374171,80.8157101960111,78.9705672887611,2.31107204198938,1,281.120522700574,240.023204649931,216.225,3930.23722369007,3414.81736334226,0.000254350348383009,0.682980787467349,27.128690408532,2.68877737682299,2.71001465268483e-05,0.0271779787036053,0.00060101052171968,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,-0.0855470619178789,45.4942895556403,0
