case_id,condition,stop_time_s,is_steady,egr_ratio_cmd,current_A,current_density_A_cm2,V_cell_meas,V_cell_sim,V_cell_err,V_stack_sim,pO2_ref_no_egr_kPa,pO2_ca_in_kPa,pH2O_caIn_kPa,RH_ca_in,T_ca_in_C,T_stack_sim_C,lambda_O2_actual,pressure_order_ok,p_ca_in_sim_kPa,p_stack_internal_kPa,p_ca_out_boundary_kPa,Q_gen_W,Q_cool_W,hum_transfer_kg_s,RH_hum_wet_out,pH2O_hum_wet_out_kPa,oxygen_stoich_cmd,dV_cell_30s,dT_stack_30s_C,dRH_ca_in_30s,model_name,severe_oxygen_starvation
bench_j0p60,same_current_egr_ratio_qualitative,300,1,0,228,0.6,0.7102375,0.715831774149165,0.00559427414916525,11.4533083863866,36.4057139049126,36.3926147551606,25.9623862524345,0.696887682902392,74.1303176067972,72.1148998366927,1.98429552984753,1,199.674151193535,176.861083933498,174.825,1963.23768790385,1517.2154135136,0.000198531903359765,0.510092283148037,15.6378713524149,1.98429552984753,2.35722041264097e-05,0.0196420636430616,0.000497886431328753,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0
bench_j0p60,same_current_egr_ratio_qualitative,300,1,0.1,228,0.6,0.7102375,0.715125460615179,0.00488796061517871,11.4420073698429,36.4057139049126,36.0726481129374,26.1529172115794,0.70291109010906,74.0996906347513,72.1179355950725,1.88981577902586,1,206.340049514918,177.044889023682,174.825,1965.81431967583,1519.75328627093,0.000178831725926058,0.562362302815245,17.265580167123,1.98429552984753,2.36729879695696e-05,0.0196521630034994,0.000494746234941723,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0
bench_j0p60,same_current_egr_ratio_qualitative,300,1,0.2,228,0.6,0.7102375,0.714106527607319,0.00386902760731944,11.4257044417171,36.4057139049126,35.1695313526627,26.4194351976764,0.711183903332215,74.0627477421687,72.1223146879959,1.77109929179099,1,213.024988215756,177.1433997216,174.825,1969.5313872885,1523.41417680822,0.000156324287403464,0.623952025252374,19.1909646898656,1.98429552984753,2.38298863997066e-05,0.0196669550156372,0.000491024048388855,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0
bench_j0p60,same_current_egr_ratio_qualitative,300,1,0.3,228,0.6,0.7102375,0.712509078568543,0.00227157856854332,11.4001452570967,36.4057139049126,33.4212507265047,26.7915393623655,0.722577037038453,74.0176470047096,72.1291792260705,1.6180172563557,1,219.722824262236,177.138107684408,174.825,1975.35888138195,1529.15288045975,0.00012980389930914,0.698190463573246,21.5229065881181,1.98429552984753,2.41079520668652e-05,0.0196907520703604,0.00048646671360697,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0
bench_j0p60,same_current_egr_ratio_qualitative,300,1,0.4,228,0.6,0.7102375,0.709574741332531,-0.000662758667468566,11.3531958613205,36.4057139049126,30.3864919677651,27.3164417371935,0.738449089942325,73.9626601046644,72.1417852752758,1.41377186352626,1,226.425836473369,176.998634618706,174.825,1986.06334361893,1539.6914401565,9.74017440038692e-05,0.790094814870656,24.4276822548848,1.98429552984753,2.47473632215556e-05,0.0197368299021861,0.000480748069156212,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0
bench_j0p70,same_current_egr_ratio_qualitative,300,1,0,266,0.7,0.701175,0.701696044206259,0.000521044206259313,11.2271367073001,37.8824825789663,37.5933926596215,30.1582546403317,0.703282584749414,77.4956122624841,75.4302039491413,1.8802306717326,1,209.601656356902,184.142427046854,183.325,2350.60563585816,1864.39041345497,0.000241994478416837,0.502249351910821,17.9378021977619,1.8802306717326,3.39791259663658e-05,0.028885790092275,0.000715857032258627,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0
bench_j0p70,same_current_egr_ratio_qualitative,300,1,0.1,266,0.7,0.701175,0.700890610900402,-0.000284389099598381,11.2142497744064,37.8824825789663,37.2659084069701,30.3821160746529,0.709164771021222,77.4730375690049,75.4342410659239,1.78575340141274,1,217.011495857239,184.399894848709,183.325,2354.03356000789,1867.76541226166,0.000217621269322377,0.55306102250718,19.7749016536669,1.8802306717326,3.41498841339716e-05,0.0289003702559825,0.000720126831797563,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0
bench_j0p70,same_current_egr_ratio_qualitative,300,1,0.2,266,0.7,0.701175,0.699707835158206,-0.00146716484179354,11.1953253625313,37.8824825789663,36.2881203354052,30.6982649797231,0.717652812426278,77.4356632627962,75.4401689612472,1.66696490996917,1,224.446317025653,184.549397626372,183.325,2359.06745356667,1872.72108655147,0.000190055748665227,0.612430981791951,21.9380440917218,1.8802306717326,3.44203717695946e-05,0.0289222015095874,0.000714481447261717,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0
bench_j0p70,same_current_egr_ratio_qualitative,300,1,0.3,266,0.7,0.701175,0.697796276041245,-0.00337872395875471,11.1647404166599,37.8824825789663,34.3667258552034,31.1424971739051,0.729385691604724,77.3909630365025,75.4497475376724,1.51372909230991,1,231.898117629504,184.569360797468,183.325,2367.20304916846,1880.72869883054,0.000157874439385278,0.683683278283236,24.54694920155,1.8802306717326,3.49204309852968e-05,0.0289588050974885,0.000707633252037709,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0
bench_j0p70,same_current_egr_ratio_qualitative,300,1,0.4,266,0.7,0.701175,0.694029716042298,-0.00714528395770175,11.1044754566768,37.8824825789663,31.0076895834282,31.7719377985896,0.745728159410311,77.3390560909181,75.4686121857954,1.30923324955902,1,239.357091664941,184.424377661145,183.325,2383.23352852398,1896.49937742286,0.000118878923194144,0.771536282495605,27.7846295525686,1.8802306717326,3.62183272306638e-05,0.0290373367710259,0.000699212553712525,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0
